tri,taille,cas,plage,temps
rapide,13000,aleatoire,grande,0.001699
bulle_basique,13000,croissant,grande,0.345715
bulle_basique_v2,13000,croissant,grande,0.200478
bulle_optimise,13000,croissant,grande,0.000031
cocktail,13000,croissant,grande,0.000061
selection,13000,croissant,grande,0.178342
insertion,13000,croissant,grande,0.000048
comptage,13000,croissant,grande,0.000140
fusion,13000,croissant,grande,0.001654
rapide,13000,croissant,grande,0.000574
bulle_basique,13000,decroissant,grande,0.547909
bulle_basique_v2,13000,decroissant,grande,0.373815
bulle_optimise,13000,decroissant,grande,0.370852
cocktail,13000,decroissant,grande,0.321196
selection,13000,decroissant,grande,0.194469
insertion,13000,decroissant,grande,0.184492
comptage,13000,decroissant,grande,0.000139
fusion,13000,decroissant,grande,0.001647
rapide,13000,decroissant,grande,0.000733
bulle_basique,13000,constant,grande,0.345246
bulle_basique_v2,13000,constant,grande,0.172963
bulle_optimise,13000,constant,grande,0.000027
cocktail,13000,constant,grande,0.000053
selection,13000,constant,grande,0.173750
insertion,13000,constant,grande,0.000047
comptage,13000,constant,grande,0.000404
fusion,13000,constant,grande,0.001615
rapide,13000,constant,grande,0.292130
bulle_basique,15000,aleatoire,petite,0.824823
bulle_basique_v2,15000,aleatoire,petite,0.597030
bulle_optimise,15000,aleatoire,petite,0.591735
cocktail,15000,aleatoire,petite,0.421018
selection,15000,aleatoire,petite,0.230773
insertion,15000,aleatoire,petite,0.118191
comptage,15000,aleatoire,petite,0.000089
fusion,15000,aleatoire,petite,0.002709
rapide,15000,aleatoire,petite,0.019722
bulle_basique,15000,croissant,petite,0.459474
bulle_basique_v2,15000,croissant,petite,0.228968
bulle_optimise,15000,croissant,petite,0.000031
cocktail,15000,croissant,petite,0.000062
selection,15000,croissant,petite,0.229752
insertion,15000,croissant,petite,0.000053
comptage,15000,croissant,petite,0.000149
fusion,15000,croissant,petite,0.001882
rapide,15000,croissant,petite,0.000686
bulle_basique,15000,decroissant,petite,0.637329
bulle_basique_v2,15000,decroissant,petite,0.428117
bulle_optimise,15000,decroissant,petite,0.427967
cocktail,15000,decroissant,petite,0.407155
selection,15000,decroissant,petite,0.258824
insertion,15000,decroissant,petite,0.246454
comptage,15000,decroissant,petite,0.000141
fusion,15000,decroissant,petite,0.001993
rapide,15000,decroissant,petite,0.000844
bulle_basique,15000,constant,petite,0.458116
bulle_basique_v2,15000,constant,petite,0.234317
bulle_optimise,15000,constant,petite,0.000031
cocktail,15000,constant,petite,0.000061
selection,15000,constant,petite,0.230367
insertion,15000,constant,petite,0.000055
comptage,15000,constant,petite,0.000112
fusion,15000,constant,petite,0.001902
rapide,15000,constant,petite,0.387322
bulle_basique,15000,aleatoire,grande,0.825258
bulle_basique_v2,15000,aleatoire,grande,0.608673
bulle_optimise,15000,aleatoire,grande,0.605235
cocktail,15000,aleatoire,grande,0.417235
selection,15000,aleatoire,grande,0.242036
insertion,15000,aleatoire,grande,0.133183
comptage,15000,aleatoire,grande,0.003355
fusion,15000,aleatoire,grande,0.003518
rapide,15000,aleatoire,grande,0.001993
bulle_basique,15000,croissant,grande,0.482053
bulle_basique_v2,15000,croissant,grande,0.240721
bulle_optimise,15000,croissant,grande,0.000031
cocktail,15000,croissant,grande,0.000062
selection,15000,croissant,grande,0.229327
insertion,15000,croissant,grande,0.000053
comptage,15000,croissant,grande,0.000151
fusion,15000,croissant,grande,0.001891
rapide,15000,croissant,grande,0.000688
bulle_basique,15000,decroissant,grande,0.653410
bulle_basique_v2,15000,decroissant,grande,0.494414
bulle_optimise,15000,decroissant,grande,0.436847
cocktail,15000,decroissant,grande,0.406126
selection,15000,decroissant,grande,0.259823
insertion,15000,decroissant,grande,0.246336
comptage,15000,decroissant,grande,0.000142
fusion,15000,decroissant,grande,0.001896
rapide,15000,decroissant,grande,0.000834
bulle_basique,15000,constant,grande,0.459019
bulle_basique_v2,15000,constant,grande,0.230812
bulle_optimise,15000,constant,grande,0.000030
cocktail,15000,constant,grande,0.000061
selection,15000,constant,grande,0.233684
insertion,15000,constant,grande,0.000102
comptage,15000,constant,grande,0.003284
fusion,15000,constant,grande,0.002312
rapide,15000,constant,grande,0.450539
bulle_basique,17000,aleatoire,petite,1.081777
bulle_basique_v2,17000,aleatoire,petite,0.795238
bulle_optimise,17000,aleatoire,petite,0.790411
cocktail,17000,aleatoire,petite,0.550220
selection,17000,aleatoire,petite,0.301418
insertion,17000,aleatoire,petite,0.151695
comptage,17000,aleatoire,petite,0.000104
fusion,17000,aleatoire,petite,0.003064
rapide,17000,aleatoire,petite,0.025278
bulle_basique,17000,croissant,petite,0.591096
bulle_basique_v2,17000,croissant,petite,0.294647
bulle_optimise,17000,croissant,petite,0.000036
cocktail,17000,croissant,petite,0.000070
selection,17000,croissant,petite,0.295213
insertion,17000,croissant,petite,0.000060
comptage,17000,croissant,petite,0.000184
fusion,17000,croissant,petite,0.002185
rapide,17000,croissant,petite,0.000741
bulle_basique,17000,decroissant,petite,0.816045
bulle_basique_v2,17000,decroissant,petite,0.546683
bulle_optimise,17000,decroissant,petite,0.546122
cocktail,17000,decroissant,petite,0.521980
selection,17000,decroissant,petite,0.332456
insertion,17000,decroissant,petite,0.316255
comptage,17000,decroissant,petite,0.000177
fusion,17000,decroissant,petite,0.002128
rapide,17000,decroissant,petite,0.000980
bulle_basique,17000,constant,petite,0.590715
bulle_basique_v2,17000,constant,petite,0.294686
bulle_optimise,17000,constant,petite,0.000034
cocktail,17000,constant,petite,0.000070
selection,17000,constant,petite,0.295043
insertion,17000,constant,petite,0.000061
comptage,17000,constant,petite,0.000124
fusion,17000,constant,petite,0.002125
rapide,17000,constant,petite,0.499669
bulle_basique,17000,aleatoire,grande,1.074396
bulle_basique_v2,17000,aleatoire,grande,0.787677
bulle_optimise,17000,aleatoire,grande,0.791504
cocktail,17000,aleatoire,grande,0.543209
selection,17000,aleatoire,grande,0.297032
insertion,17000,aleatoire,grande,0.157814
comptage,17000,aleatoire,grande,0.003323
fusion,17000,aleatoire,grande,0.003842
rapide,17000,aleatoire,grande,0.002245
bulle_basique,17000,croissant,grande,0.587970
bulle_basique_v2,17000,croissant,grande,0.294101
bulle_optimise,17000,croissant,grande,0.000036
cocktail,17000,croissant,grande,0.000069
selection,17000,croissant,grande,0.294495
insertion,17000,croissant,grande,0.000061
comptage,17000,croissant,grande,0.000180
fusion,17000,croissant,grande,0.002226
rapide,17000,croissant,grande,0.000739
bulle_basique,17000,decroissant,grande,0.814318
bulle_basique_v2,17000,decroissant,grande,0.546211
bulle_optimise,17000,decroissant,grande,0.546857
cocktail,17000,decroissant,grande,0.523515
selection,17000,decroissant,grande,0.331507
insertion,17000,decroissant,grande,0.317101
comptage,17000,decroissant,grande,0.000175
fusion,17000,decroissant,grande,0.002192
rapide,17000,decroissant,grande,0.000956
bulle_basique,17000,constant,grande,0.589495
bulle_basique_v2,17000,constant,grande,0.295213
bulle_optimise,17000,constant,grande,0.000037
cocktail,17000,constant,grande,0.000072
selection,17000,constant,grande,0.295262
insertion,17000,constant,grande,0.000061
comptage,17000,constant,grande,0.000501
fusion,17000,constant,grande,0.002134
rapide,17000,constant,grande,0.497173
bulle_basique,19000,aleatoire,petite,1.392168
bulle_basique_v2,19000,aleatoire,petite,0.999941
bulle_optimise,19000,aleatoire,petite,0.995136
cocktail,19000,aleatoire,petite,0.712529
selection,19000,aleatoire,petite,0.371734
insertion,19000,aleatoire,petite,0.189723
comptage,19000,aleatoire,petite,0.000118
fusion,19000,aleatoire,petite,0.003433
rapide,19000,aleatoire,petite,0.031254
bulle_basique,19000,croissant,petite,0.740067
bulle_basique_v2,19000,croissant,petite,0.369908
bulle_optimise,19000,croissant,petite,0.000040
cocktail,19000,croissant,petite,0.000079
selection,19000,croissant,petite,0.370559
insertion,19000,croissant,petite,0.000068
comptage,19000,croissant,petite,0.000199
